id,category,subcategory,itemName,price,priceDisplay,description
1,First Bell,,Beetroot Kanji,44,,
2,First Bell,,Amla Kanji,44,,
3,First Bell,,Ginger Honey,55,,
4,First Bell,,Jeera Shikhanji,55,,
5,First Bell,,Sauf Thandaai,55,,
6,First Bell,,Dates Milkshake,55,,
7,First Bell,,Butterscotch Splash,66,,
8,First Bell,,Aam Panna,77,,
9,First Bell,,Lassi,77,,
10,First Bell,,Indie Mojito,88,,
11,First Bell,,Oreo Shake,111,,
12,First Bell,,Mineral Water,10,₹10 | ₹20,
13,Second Bell,,Ayurvedic Tea,27,,
14,Second Bell,,Lemon Green Tea,47,₹47 | ₹67,
15,Second Bell,,Earl Gray Tea,67,₹67 | ₹87,
16,Second Bell,,Darjeeling Tea,37,₹37 | ₹57,
17,Second Bell,,Kolkata Street,27,₹27 | ₹37,
18,Second Bell,,Bombay Cutting,27,₹27 | ₹37,
19,Second Bell,,Kashmir Saffron Rose,27,₹27 | ₹37,
20,Second Bell,,Punjabi Masala,27,₹27 | ₹37,
21,Second Bell,,Jaipur Jashn,27,₹27 | ₹37,
22,Second Bell,,Wayanad Cardamom,27,₹27 | ₹37,
23,Second Bell,,Awesome Assam,27,₹27 | ₹37,
24,Second Bell,,Ice Tea,67,,
25,Second Bell,,Original Coffee,47,Black ₹47 | Milk ₹67,
26,Second Bell,,Original Cold Coffee,97,,
27,Second Bell,,Flavoured Coffee,,+₹10  ·  Ask for the flavour,
28,Second Bell,,Mojo Coffee,107,,
29,Third Bell,,Cookies,8,₹8 | ₹10 | ₹15 | ₹20  ·  Ask for the options,
30,Third Bell,,French Fries,87,,
31,Third Bell,,Nuggets,157,,
32,Third Bell,,Sausages,157,,
33,Curtain Call,,Chocolate,10,₹10 | ₹20 | ₹30 | ₹50  ·  Ask for the varieties,
34,Curtain Call,,Popsicles,57,₹57  ·  Ask for the flavour,
35,Curtain Call,,Choco Mug Cake,107,,
36,Curtain Call,,Kulfi,97,₹97  ·  Ask for the flavour,
37,Curtain Call,,Ice Cream,157,₹157  ·  Ask for the flavour,
38,Performance,Lead Role,Paneer Kebab,107,,
39,Performance,Lead Role,Chicken Malai Kebab,117,,
40,Performance,Lead Role,Chicken Hariyali Kebab,117,,
41,Performance,Lead Role,Chicken Masala Kebab,117,,
42,Performance,Lead Role,Fish Masala Kebab,137,,
43,Performance,Chicken in Cameo Role,Chicken Envelope,97,,
44,Performance,Chicken in Cameo Role,Chicken Maggie,117,,
45,Performance,Chicken in Cameo Role,Chicken Wrap,127,,
46,Performance,Chicken in Cameo Role,Chicken Sandwich,157,,
47,Performance,Chicken in Cameo Role,Chicken Pasta,157,,
48,Performance,Mushroom in Cameo Role,Butter Garlic Mushroom,107,,
49,Performance,Mushroom in Cameo Role,Garlic Mushroom Wrap,107,,
50,Performance,Mushroom in Cameo Role,Mushroom Pasta,137,,
51,Performance,Paneer in Cameo Role,Paneer Tikka Wrap,107,,
52,Performance,Paneer in Cameo Role,Paneer Sandwich,127,,
53,Performance,Veggies as Chorus,with Maggie,77,,
54,Performance,Veggies as Chorus,with Wrap,117,,
55,Performance,Veggies as Chorus,with Pasta,117,,
56,Performance,Egg as Omelette,with Vegetables,87,,
57,Performance,Egg as Omelette,with Maggie,87,,
58,Performance,Egg as Omelette,with Wrap,97,,
59,Performance,Egg as Omelette,with Mushroom,107,,
60,Performance,Egg as Omelette,with Chicken,127,,
61,Performance,Special Act,PORK — Special Act by Big Brother,177,₹177  ·  On request,
